P_tau,P_tau_S,P_tau_W,P_t,P_t_S,P_t_W,lambda_D,lambda_A,r_plus,r_minus,Pi,Zeros,O_Rank
24038.01,18395.16,5642.85,20508.72,8771.86,11736.86,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
24038.01,18395.16,5642.85,26100.0,22117.76,3982.25,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
24038.01,18395.16,5642.85,20469.47,16572.42,3897.05,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
24038.01,18395.16,5642.85,17705.01,11768.93,5936.08,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
24038.01,18395.16,5642.85,20508.72,8771.86,11736.86,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
24038.01,18395.16,5642.85,26100.0,22117.76,3982.25,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
24038.01,18395.16,5642.85,20469.47,16572.42,3897.05,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
24038.01,18395.16,5642.85,17705.01,11768.93,5936.08,50.0,53.0,0.9,1.0,0.004875,0.0,2
24038.01,18395.16,5642.85,20508.72,8771.86,11736.86,50.0,53.0,0.9,1.0,0.004875,0.0,2
24038.01,18395.16,5642.85,26100.0,22117.76,3982.25,50.0,53.0,0.9,1.0,0.004875,0.0,2
24038.01,18395.16,5642.85,20469.47,16572.42,3897.05,50.0,53.0,0.9,1.0,0.004875,0.0,2
24038.01,18395.16,5642.85,17705.01,11768.93,5936.08,20.0,10.0,0.9,1.0,0.0039375,0.0,1
24038.01,18395.16,5642.85,20508.72,8771.86,11736.86,20.0,10.0,0.9,1.0,0.0039375,0.0,1
24038.01,18395.16,5642.85,26100.0,22117.76,3982.25,20.0,10.0,0.9,1.0,0.0039375,0.0,1
24038.01,18395.16,5642.85,20469.47,16572.42,3897.05,20.0,10.0,0.9,1.0,0.0039375,0.0,1
24038.01,18395.16,5642.85,17705.01,11768.93,5936.08,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
24038.01,18395.16,5642.85,20508.72,8771.86,11736.86,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
24038.01,18395.16,5642.85,26100.0,22117.76,3982.25,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
24038.01,18395.16,5642.85,20469.47,16572.42,3897.05,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,50.0,53.0,1.0,1.5,0.011375,0.0,2
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,50.0,53.0,1.0,1.5,0.011375,0.0,2
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,50.0,53.0,1.0,1.5,0.011375,0.0,2
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,50.0,53.0,1.0,1.5,0.011375,0.0,2
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,20.0,10.0,1.0,1.5,0.0091875,0.0,1
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,20.0,10.0,1.0,1.5,0.0091875,0.0,1
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,20.0,10.0,1.0,1.5,0.0091875,0.0,1
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,20.0,10.0,1.0,1.5,0.0091875,0.0,1
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,50.0,53.0,0.9,1.0,0.004875,0.0,2
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,50.0,53.0,0.9,1.0,0.004875,0.0,2
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,50.0,53.0,0.9,1.0,0.004875,0.0,2
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,50.0,53.0,0.9,1.0,0.004875,0.0,2
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,20.0,10.0,0.9,1.0,0.0039375,0.0,1
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,20.0,10.0,0.9,1.0,0.0039375,0.0,1
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,20.0,10.0,0.9,1.0,0.0039375,0.0,1
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,20.0,10.0,0.9,1.0,0.0039375,0.0,1
14941.81,13080.81,1860.99,16185.21,5991.6,10193.61,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
14941.81,13080.81,1860.99,20192.93,17652.2,2540.73,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
14941.81,13080.81,1860.99,13595.53,9597.78,3997.74,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
14941.81,13080.81,1860.99,21512.4,13607.93,7904.46,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,50.0,40.0,1.0,1.5,0.006124999999999999,0.0,2
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,50.0,53.0,1.0,1.5,0.011375,0.0,2
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,50.0,53.0,1.0,1.5,0.011375,0.0,2
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,50.0,53.0,1.0,1.5,0.011375,0.0,2
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,50.0,53.0,1.0,1.5,0.011375,0.0,2
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,20.0,10.0,1.0,1.5,0.0091875,0.0,1
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,20.0,10.0,1.0,1.5,0.0091875,0.0,1
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,20.0,10.0,1.0,1.5,0.0091875,0.0,1
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,20.0,10.0,1.0,1.5,0.0091875,0.0,1
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,20.0,23.0,1.0,1.5,0.017062499999999998,0.0,1
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,50.0,40.0,0.9,1.0,0.0026249999999999997,0.0,2
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,50.0,53.0,0.9,1.0,0.004875,0.0,2
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,50.0,53.0,0.9,1.0,0.004875,0.0,2
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,50.0,53.0,0.9,1.0,0.004875,0.0,2
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,50.0,53.0,0.9,1.0,0.004875,0.0,2
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,20.0,10.0,0.9,1.0,0.0039375,0.0,1
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,20.0,10.0,0.9,1.0,0.0039375,0.0,1
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,20.0,10.0,0.9,1.0,0.0039375,0.0,1
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,20.0,10.0,0.9,1.0,0.0039375,0.0,1
26020.2,23665.35,2354.85,23433.78,14176.24,9257.54,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
26020.2,23665.35,2354.85,25222.51,22630.39,2592.12,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
26020.2,23665.35,2354.85,14699.17,9817.63,4881.54,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
26020.2,23665.35,2354.85,20130.85,16757.94,3372.91,20.0,23.0,0.9,1.0,0.0073124999999999996,0.0,1
